EANL_Tipo_impianto,Cat_Tariffa,Nuclei_domestici,Nuclei_commerciali,Nuclei_non_residenti,Condominio,Componenti,Località,ProccessedVia,ProcessedAddress,Consumo_medio_2020,Consumo_medio_2021,Consumo_medio_2022,Consumo_medio_2023,Consumo_medio_2024
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1036,4.47,4.47,4.32,4.46,0.0
1001,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1077,8.52,8.52,0.21,0.11,0.63
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4226,3.95,3.95,6.33,8.5,9.16
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2716,0.69,0.69,0.0,0.42,0.74
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1080,5.93,5.93,1.23,2.19,5.58
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2352A,14.28,14.28,99999.0,0.19,0.74
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1080,2.99,2.99,1.0,1.7,3.26
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3722,9.49,9.49,1.58,7.46,9.85
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4226,0.79,0.79,0.4,0.33,0.25
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS946G,4.63,4.63,5.57,6.63,3.83
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2792,6.64,6.64,2.25,6.88,10.17
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS946G,7.42,7.42,2.49,3.96,5.32
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2354,1.16,1.16,0.84,1.42,1.07
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2716,9.73,9.73,5.01,6.37,6.95
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3385B,6.71,6.71,6.71,99999.0,99999.0
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS946F,9.18,9.18,5.81,2.06,1.8
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3385A,0.47,0.47,0.45,1.07,2.99
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4226,11.3,11.3,2.54,4.16,8.82
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS1098,1.14,1.14,0.76,3.5,3.5
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4226,0.0,0.0,0.0,0.65,1.85
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN3854,7.29,7.29,6.65,1.34,6.74
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN3856,8.58,8.58,0.0,0.08,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN3876,2.86,2.86,2.75,3.14,2.93
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4049A,1.18,1.18,0.5,1.79,4.45
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4037,7.56,7.56,7.56,7.56,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4036,0.99,0.99,2.16,0.0,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4055,2.17,2.17,1.72,1.91,1.91
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4100,18.57,18.57,7.03,6.78,6.78
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4105,12.6,12.6,14.78,5.97,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4161B,1.87,1.87,4.15,3.92,3.76
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4165,7.55,7.55,8.36,9.62,4.05
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4165,0.0,0.0,2.96,2.94,2.62
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4669,0.17,0.17,0.59,3.49,6.07
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4627,79.15,79.15,37.62,45.83,51.33
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN2976A,1.75,1.75,0.97,1.36,1.42
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2777,70.82,70.82,61.06,54.21,47.23
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2500,18.37,18.37,8.75,1.54,4.47
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2509,0.61,0.61,0.42,1.03,1.03
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2739,2.25,2.25,1.51,0.42,0.56
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2515,4.17,4.17,6.38,4.26,5.31
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3404,9.77,9.77,9.13,9.07,8.13
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2519,1.3,1.3,6.63,1.98,2.45
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3217,3.66,3.66,0.97,3.91,4.01
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2525,0.14,0.14,0.08,0.17,0.16
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2527,15.18,15.18,1.16,0.11,0.57
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2532,1.62,1.62,1.49,1.49,2.07
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3835,1.34,1.34,1.67,0.33,0.08
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3502,0.0,0.0,0.0,0.08,0.96
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2885,5.35,5.35,0.34,0.0,0.81
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2542,3.69,3.69,3.92,2.29,2.31
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2888,12.65,12.65,12.65,7.46,7.46
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2889,0.0,0.0,1.27,1.64,0.16
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3263,2.81,2.81,2.77,1.34,1.34
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2891,2.92,2.92,1.38,4.33,4.43
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3853,6.77,6.77,4.11,5.69,5.66
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2543,4.39,4.39,1.07,1.84,4.99
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3511A,4.17,99999.0,99999.0,5.34,7.73
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2893,6.21,6.21,9.07,6.4,7.73
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2543,0.39,0.0,0.0,0.59,0.08
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3862,0.0,0.0,0.0,0.0,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2738A,6.91,6.91,0.45,2.72,4.09
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3266,1.9,1.9,1.3,1.09,1.29
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3512A,0.25,0.25,0.0,0.0,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2738B,8.09,8.09,10.9,13.17,9.24
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4055,0.0,0.0,0.2,0.19,0.19
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4127,0.0,0.0,0.08,0.16,1.75
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4127,11.26,11.26,0.0,2.99,5.88
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN4127,6.08,6.08,0.0,0.0,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4379C,5.07,5.07,2.09,4.54,6.19
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2549,2.23,2.23,0.9,2.01,6.07
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2738B,0.53,0.53,0.27,0.51,0.49
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2551,3.42,3.42,1.58,1.51,1.87
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3228,0.16,0.16,0.17,0.25,0.16
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3512A,0.08,0.08,6.08,7.31,7.26
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2895,3.03,3.03,3.1,3.06,1.89
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3862,2.76,2.76,1.3,0.57,0.34
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3512A,11.34,11.34,4.24,8.4,8.73
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2897A,8.1,8.1,0.0,5.79,9.61
12CE,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD172A,0.68,0.68,0.78,2.64,0.59
1001,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD172A,12.95,12.95,13.65,0.0,0.08
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD172C,1.7,1.7,15.93,5.93,6.54
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD172C,2.73,2.73,8.88,11.71,7.65
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD172C,3.75,3.75,1.05,3.54,2.46
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD173,3.66,3.66,0.61,1.24,0.76
,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD174,9.54,9.54,12.01,8.94,8.7
1001,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD178B,10.24,10.24,1.17,1.17,1.55
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2690,6.91,6.91,0.0,0.0,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD187,1.88,1.88,0.61,1.25,1.36
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD188A,1.28,1.28,0.56,1.17,0.8
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD188A,3.37,3.37,4.06,4.7,5.61
,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD189,0.34,0.34,0.33,0.25,0.76
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2752A,6.04,6.04,5.58,0.54,3.22
,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD189,3.15,3.15,1.33,1.73,1.44
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3007,11.12,11.12,2.77,7.34,8.02
,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD189,0.94,0.94,0.61,0.58,6.97
,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD193A,27.75,27.75,23.57,14.8,21.37
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3363,12.9,12.9,8.6,0.0,0.12
