TARGET_FID_12_13,Full_sesti,Codice_1
238,CN460,GERE
239,CN458,GERE
239,CN458A,GERE
239,CN457,GERE
242,CN453,GERE
243,CN451,GERE
243,CN450,GERE
243,CN449,GERE
245,CN443,GERE
245,CN441,GERE
245,CN442,GERE
245,CN441A,GERE
246,CN441B,GERE
246,CN441C,GERE
247,CN413A,GERE
247,CN412,GERE
247,CN413,GERE
248,CN410,GERE
248,CN411,GERE
249,CN416,GERE
250,CN417,GERE
251,CN407,GERE
251,CN408,GERE
251,CN409,GERE
251,CN352,GERE
253,CN350,GERE
253,CN348,GERE
253,CN349,GERE
254,CN351,GERE
256,CN346,GERE
257,CN539B,GERE
257,CN539A,GERE
258,CN539,GERE
259,CN544,GERE
262,CN523A,GERE
262,CN525,GERE
262,CN524,GERE
263,CN501,GERE
264,CN502,GERE
265,CN487,GERE
265,CN485B,GERE
265,CN486,GERE
266,CN485,GERE
267,CN478,GERE
268,CN478A,GERE
269,CN448,GERE
269,CN444,GERE
269,CN445,GERE
269,CN447,GERE
271,CN415,GERE
271,CN414,GERE
274,CN949,LEON
278,CN986C,LEON
281,CN992,LEON
281,CN989,LEON
281,CN990,LEON
281,CN991,LEON
282,CN993,LEON
285,CN1031,LEON
285,CN1029,LEON
285,CN1030,LEON
287,CN1036A,LEON
287,CN1037,LEON
287,CN1035,LEON
289,CN1046B,LEON
289,CN1046A,LEON
291,CN2927A,CHIO
291,CN2927,CHIO
294,CN1104C,
298,CN2833,ORME
298,CN2833A,ORME
298,CN2834,ORME
298,CN2832A,ORME
304,CN1080,LEON
304,CN1081,LEON
304,CN1080A,LEON
305,CN1091,LEON
308,CN1249,LEON
309,CN1250,LEON
309,CN1251,LEON
310,CN1248,LEON
310,CN1244,LEON
310,CN1246,LEON
310,CN1248A,LEON
310,CN1247,LEON
310,CN1245,LEON
311,CN1253,LEON
311,CN1252,LEON
312,CN1255,LEON
312,CN1254,LEON
313,CN1241,LEON
313,CN1242,LEON
313,CN1240,LEON
313,CN1243,LEON
314,CN1237,LEON
314,CN1236A,LEON
314,CN1239,LEON
315,CN1236,LEON
315,CN1233,LEON
315,CN1234,LEON
315,CN1235,LEON
319,CN1277,LEON
319,CN1275,LEON
319,CN1263,LEON
319,CN1278,LEON
319,CN1264,LEON
319,CN1274,LEON
319,CN1276,LEON
320,CN1269,LEON
320,CN1291,LEON
320,CN1289,LEON
320,CN1288,LEON
320,CN1290,LEON
320,CN1271,LEON
320,CN1269A,LEON
321,CN1268,LEON
321,CN1259,LEON
321,CN1265,LEON
321,CN1257,LEON
321,CN1266,LEON
321,CN1258,LEON
322,CN1292,LEON
322,CN1293,LEON
322,CN1295,LEON
322,CN1294,LEON
323,CN1322B,LEON
324,CN1229,LEON
324,CN1231A,LEON
324,CN1232,LEON
324,CN1231,LEON
324,CN1230,LEON
333,CN1344C,LEON
333,CN1344B,LEON
333,CN1344A,LEON
334,CN1340,LEON
335,CN1341,LEON
336,CN1318,LEON
337,CN1315,LEON
339,CN1313,LEON
339,CN1312,LEON
339,CN1314,LEON
340,CN1310A,LEON
340,CN1310B,LEON
340,CN1310E,LEON
340,CN1297,LEON
340,CN1310F,LEON
340,CN1296,LEON
341,CN1301,LEON
341,CN1303,LEON
341,CN1299A,LEON
341,CN1298,LEON
341,CN1299,LEON
341,CN1305,LEON
341,CN1304,LEON
341,CN1300,LEON
341,CN1302,LEON
343,CN1350,LEON
344,CN1353A,LEON
344,CN1353C,LEON
344,CN1352,LEON
344,CN1351,LEON
346,CN1348,LEON
