TARGET_FID_12_13,Join_Count,TARGET_FID_1,Full_sesti,Codice_1
14620,2,54532,SM5323,BORT
14620,2,54538,5325,
14620,2,54542,5326,
14620,2,54548,5328,
14621,1,72653,DD1881,NICO
14621,1,67483,DD1904E,NICO
14622,2,78107,CS3941,BRAG
14623,1,38597,10,
14623,1,38591,SP12,SILV
14623,1,38599,9,
14623,1,65698,SP13,SILV
14623,1,38601,8,
14623,1,38594,SP11,SILV
14624,1,72652,DD1883,NICO
14624,1,67484,DD1904D,NICO
14624,1,67490,DD1882,NICO
14625,2,54554,5330,
14625,2,54557,5331,
14625,2,54551,5329,
14625,2,54563,5333,
14625,2,54566,SM5334,BORT
14625,2,54560,5332,
14626,2,47656,CS3942,BRAG
14627,1,72651,DD1884,NICO
14627,1,67489,DD1885,NICO
14627,1,67488,DD1904C,NICO
14628,1,38613,SP2,SILV
14628,1,38603,7,
14628,1,38611,SP3,SILV
14628,1,38607,5,
14628,1,38605,6,
14628,1,38609,SP4,SILV
14629,2,47657,CS3943,BRAG
14630,1,67487,DD1904B,NICO
14630,1,72650,DD1886,NICO
14632,1,76485,SP137A,SILV
14632,1,38840,SP219,SILV
14632,1,75038,SP127,SILV
14632,1,75021,SP129,SILV
14632,1,75019,SP130,SILV
14632,1,38848,SP215,SILV
14632,1,38846,SP216,SILV
14632,1,38844,SP217,SILV
14632,1,38842,SP218,SILV
14632,1,75042,SP125,SILV
14632,1,75014,SP136,SILV
14632,1,75015,SP131,SILV
14632,1,74780,SP209,SILV
14632,1,75034,SP138,SILV
14632,1,75025,SP137,SILV
14632,1,81416,SP110A,SILV
14632,1,75279,SP107,SILV
14632,1,75282,SP104,SILV
14632,1,38822,SP109,SILV
14632,1,75278,SP108,SILV
14632,1,38828,SP112,SILV
14632,1,38826,SP111,SILV
14632,1,38824,SP101,SILV
14632,1,75281,SP105,SILV
14632,1,75283,SP103,SILV
14632,1,75280,SP106,SILV
14632,1,75642,SP120,SILV
14632,1,38784,SP84,SILV
14632,1,38802,SP136A,SILV
14632,1,38782,SP85,SILV
14632,1,38804,SP99,SILV
14632,1,38806,SP98,SILV
14632,1,38808,SP97,SILV
14632,1,75634,SP121,SILV
14632,1,75638,SP144,SILV
14632,1,75046,SP126,SILV
14632,1,75050,SP124A,SILV
14632,1,75054,SP124,SILV
14632,1,75563,SP143,SILV
14632,1,75285,SP119A,SILV
14632,1,75284,SP102,SILV
14632,1,38786,SP83,SILV
14632,1,74756,SP207,SILV
14632,1,38771,SP89,SILV
14632,1,38773,SP88,SILV
14632,1,38777,SP87,SILV
14632,1,38780,SP86,SILV
14632,1,81425,SP118,SILV
14632,1,38838,SP211,SILV
14632,1,75568,SP122,SILV
14632,1,38830,SP113,SILV
14632,1,38831,SP114,SILV
14632,1,38810,SP96,SILV
14632,1,38812,SP95,SILV
14632,1,38854,SP212,SILV
14632,1,38820,SP92B,SILV
14632,1,38850,SP214,SILV
14632,1,75546,SP123,SILV
14632,1,75559,SP142,SILV
14632,1,38769,SP90,SILV
14632,1,75069,SP93,SILV
14632,1,82248,SP210,SILV
14632,1,38818,SP92A,SILV
14632,1,38858,SP119,SILV
14632,1,38856,SP119B,SILV
14632,1,38816,SP92,SILV
14632,1,38814,SP94,SILV
14632,1,65721,SP100,SILV
14632,1,38767,SP91,SILV
14632,1,81421,SP110,SILV
14632,1,75552,SP140,SILV
14632,1,75555,SP141,SILV
14632,1,75549,SP139,SILV
14632,1,38852,SP213,SILV
14632,1,76743,SP116,SILV
14632,1,75030,SP128,SILV
14632,1,74778,SP208,SILV
14632,1,38836,SP117,SILV
14632,1,38834,SP115,SILV
14633,1,72649,DD1887A,NICO
14633,1,72683,DD1904,NICO
14633,1,82771,DD1904A,NICO
14633,1,67492,DD1887,NICO
14635,3,39052,SP382,SILV
14635,3,82470,SP383,SILV
14636,2,73305,CS4078,BRAG
14636,2,73303,CS4074,BRAG
14636,2,73304,CS4076,BRAG
14636,2,73312,CS4075,BRAG
14637,1,42535,DD2315,NICO
14637,1,42536,DD2315A,NICO
14638,2,39045,SP380,SILV
14639,2,47929,CS4110,BRAG
14639,2,73329,CS4115,BRAG
14639,2,73331,CS4113,BRAG
14639,2,73332,CS4111,BRAG
14639,2,73333,CS4112,BRAG
14639,2,73330,CS4114,BRAG
14639,2,73328,CS4116,BRAG
14639,2,73327,CS4117,BRAG
14639,2,47691,CS4109,BRAG
14640,1,42537,DD2316,NICO
14640,1,42538,DD2317,NICO
14641,2,38904,SP204,SILV
14641,2,77353,SP241,SILV
14641,2,38902,SP203,SILV
14641,2,38900,SP240A,SILV
14643,1,38417,DD2206,MART
14643,1,38418,DD2207,MART
14643,1,38432,DD2216C,MART
14644,2,38882,SP228,SILV
14644,2,77349,SP240,SILV
14644,2,38899,SP239,SILV
14644,2,38884,SP228B,SILV
14644,2,73927,SP228A,SILV
14646,1,38419,DD2208,MART
14647,2,38926,SP255A,SILV
14647,2,38924,SP254,SILV
14647,2,77687,SP255,SILV
14647,2,77357,SP243A,SILV
14647,2,38910,SP242,SILV
14647,2,38912,SP243,SILV
14647,2,77361,SP243B,SILV
14648,1,73381,CS4098,BRAG
14648,1,73308,CS4097,BRAG
14648,1,73309,CS4093,BRAG
14648,1,73307,CS4099,BRAG
14648,1,73306,CS4108,BRAG
14650,2,77365,SP244,SILV
14650,2,77686,SP253,SILV
14651,2,77549,CS2241,MRTN
14651,2,47505,CS2250,MRTN
14651,2,77550,CS2242,MRTN
14651,2,47504,CS2251,MRTN
14652,1,38424,DD2211,MART
14653,1,38930,SP256,SILV
14653,1,38928,SP284,SILV
14654,2,47506,CS2249,MRTN
14654,2,74045,CS2248,MRTN
14655,1,38425,DD2212,MART
14656,1,38932,SP257,SILV
14656,1,84412,SP257A,SILV
14657,1,47518,CS2264,MRTN
14657,1,47516,CS2227,MRTN
14658,1,38426,DD2213,MART
14659,1,38966,SP282,SILV
14660,1,46698,CS2223,MRTN
14660,1,46700,CS2226,MRTN
14660,1,71485,CS2224,MRTN
14661,1,38427,DD2214,MART
14662,1,77922,SP281A,SILV
14662,1,38963,SP281,SILV
14663,2,38428,DD2215,MART
14664,2,47514,CS2261,MRTN
14664,2,47519,CS2267,MRTN
14665,1,38957,SP278A,SILV
14665,1,38954,SP278,SILV
14665,1,38960,SP280,SILV
14665,1,75412,SP279,SILV
14666,2,38429,DD2216,MART
14667,3,47517,CS2263,MRTN
14667,3,47515,CS2262,MRTN
14667,3,77552,CS2266,MRTN
14668,1,83878,SP76A,SILV
14668,1,38579,SP502,SILV
14668,1,77106,SP510,SILV
14668,1,83877,SP18,SILV
14668,1,74677,SP62A,SILV
14668,1,81427,SP68A,SILV
14668,1,83874,SP19,SILV
14668,1,83875,SP17,SILV
14668,1,38711,SP41,SILV
14668,1,38713,SP42,SILV
14668,1,38715,SP43,SILV
14668,1,38717,SP44,SILV
14668,1,38721,SP46,SILV
14668,1,38719,SP45,SILV
14668,1,65700,SP15,SILV
14668,1,65699,SP14,SILV
14668,1,38709,SP40,SILV
14668,1,38703,SP49,SILV
14668,1,65720,SP20,SILV
14668,1,38697,SP52,SILV
14668,1,38699,SP51,SILV
14668,1,38670,SP62,SILV
14668,1,38672,SP61,SILV
14668,1,38701,SP50,SILV
14668,1,38674,SP60,SILV
14668,1,38648,SP28,SILV
14668,1,38705,SP48,SILV
14668,1,38707,SP39,SILV
14668,1,80196,SP519,SILV
14668,1,38681,SP57,SILV
14668,1,38679,SP58,SILV
14668,1,38677,SP59,SILV
