TARGET_FID_12_13,full_alias,short_alias
538,CN-LEON-C-615,LEON-615
539,CN-LEON-C-015,LEON-015
540,CN-LEON-C-016,LEON-016
541,CN-LEON-C-012,LEON-012
542,CN-LEON-C-013,LEON-013
543,CN-LEON-C-014,LEON-014
544,CN-LEON-C-011,LEON-011
545,CN-LEON-C-018,LEON-018
546,CN-LEON-C-021,LEON-021
547,CN-LEON-C-019,LEON-019
548,CN-LEON-C-020,LEON-020
549,CN-LEON-C-026,LEON-026
550,CN-MACE-C-154,MACE-154
551,CN-MACE-C-153,MACE-153
552,CN-MACE-C-129,MACE-129
553,CN-MACE-C-130,MACE-130
554,CN-MACE-D-003,MACE-003
555,CN-MACE-D-002,MACE-002
556,CN-MACE-D-004,MACE-004
557,CN-LEON-L-003,LEON-003
558,CN-LEON-C-629,LEON-629
559,CN-LEON-C-613,LEON-613
560,CN-LEON-C-017,LEON-017
561,CN-MACE-C-148,MACE-148
562,CN-MACE-C-163,MACE-163
563,CN-MACE-C-149,MACE-149
564,CN-MACE-C-150,MACE-150
565,CN-MACE-C-141,MACE-141
566,CN-LEON-C-010,LEON-010
567,CN-LEON-C-625,LEON-625
568,CN-MACE-C-135,MACE-135
569,CN-LEON-C-618,LEON-618
570,CN-LEON-C-612,LEON-612
571,CN-LEON-C-022,LEON-022
572,CN-LEON-C-623,LEON-623
573,CN-ALVI-A-001,ALVI-001
574,CN-ALVI-A-002,ALVI-002
575,CN-ALVI-A-004,ALVI-004
576,CN-ALVI-A-013,ALVI-013
577,CN-ALVI-A-012,ALVI-012
578,CN-ALVI-A-011,ALVI-011
579,CN-ALVI-A-009,ALVI-009
580,CN-ALVI-A-010,ALVI-010
581,CN-ALVI-A-003,ALVI-003
582,CN-GIRO-A-001,GIRO-001
583,CN-GIRO-A-003,GIRO-003
584,CN-GIRO-A-005,GIRO-005
585,CN-GIRO-A-007,GIRO-007
586,CN-GIRO-A-008,GIRO-008
587,CN-GIRO-A-009,GIRO-009
588,CN-GIRO-A-055,GIRO-055
589,CN-GIRO-A-056,GIRO-056
590,CN-GIRO-B-025,GIRO-025
591,CN-GIRO-B-002,GIRO-002
592,CN-GIRO-B-004,GIRO-004
593,CN-GIRO-B-006,GIRO-006
594,CN-GIRO-B-010,GIRO-010
595,CN-GIRO-C-052,GIRO-052
596,CN-GIRO-C-011,GIRO-011
597,CN-GIRO-C-050,GIRO-050
598,CN-GIRO-C-051,GIRO-051
599,CN-GIRO-B-048,GIRO-048
600,CN-GIRO-B-049,GIRO-049
601,CN-GIRO-B-012,GIRO-012
602,CN-GIRO-B-013,GIRO-013
603,CN-GIRO-B-027,GIRO-027
604,CN-GIRO-B-026,GIRO-026
605,CN-GIRO-B-024,GIRO-024
606,CN-LEON-S-633,LEON-633
607,CN-GIRO-C-054,GIRO-054
608,CN-GIRO-C-046,GIRO-046
609,CN-GIRO-C-047,GIRO-047
610,CN-GIRO-C-045,GIRO-045
611,CN-GIRO-C-043,GIRO-043
612,CN-GIRO-C-044,GIRO-044
613,CN-GIRO-B-040,GIRO-040
614,CN-GIRO-B-032,GIRO-032
615,CN-GIRO-B-037,GIRO-037
616,CN-GIRO-B-028,GIRO-028
617,CN-GIRO-B-029,GIRO-029
618,CN-GIRO-B-031,GIRO-031
619,CN-GIRO-D-057,GIRO-057
620,CN-GIRO-D-059,GIRO-059
621,CN-GIRO-D-060,GIRO-060
622,CN-GIRO-D-058,GIRO-058
623,CN-GIRO-D-062,GIRO-062
624,CN-GIRO-D-061,GIRO-061
625,CN-GIRO-D-063,GIRO-063
626,CN-CHIO-C-008,CHIO-008
627,CN-CHIO-D-007,CHIO-007
628,CN-CHIO-E-009,CHIO-009
629,CN-CHIO-F-002,CHIO-002
630,CN-CHIO-G-001,CHIO-001
631,CN-CHIO-G-069,CHIO-069
632,CN-CHIO-G-022,CHIO-022
633,CN-CHIO-G-025,CHIO-025
634,CN-CHIO-G-023,CHIO-023
635,CN-CHIO-G-024,CHIO-024
636,CN-CHIO-A-020,CHIO-020
637,CN-CHIO-A-019,CHIO-019
638,CN-CHIO-A-021,CHIO-021
639,CN-CHIO-A-018,CHIO-018
640,CN-CHIO-H-006,CHIO-006
641,CN-CHIO-H-005,CHIO-005
642,CN-CHIO-H-004,CHIO-004
643,CN-CHIO-H-003,CHIO-003
644,CN-CHIO-H-010,CHIO-010
645,CN-CHIO-G-013,CHIO-013
646,CN-CHIO-G-012,CHIO-012
647,CN-CHIO-G-011,CHIO-011
648,CN-CHIO-G-015,CHIO-015
649,CN-CHIO-G-014,CHIO-014
650,CN-CHIO-I-026,CHIO-026
651,CN-CHIO-I-068,CHIO-068
652,CN-CHIO-I-027,CHIO-027
653,CN-CHIO-I-066,CHIO-066
654,CN-CHIO-I-065,CHIO-065
655,CN-CHIO-A-028,CHIO-028
656,CN-CHIO-A-033,CHIO-033
657,CN-CHIO-I-040,CHIO-040
658,CN-CHIO-I-039,CHIO-039
659,CN-CHIO-I-036,CHIO-036
660,CN-CHIO-I-037,CHIO-037
661,CN-CHIO-I-067,CHIO-067
662,CN-CHIO-I-064,CHIO-064
663,CN-CHIO-B-063,CHIO-063
664,CN-CHIO-B-049,CHIO-049
665,CN-CHIO-B-062,CHIO-062
666,CN-CHIO-B-050,CHIO-050
667,CN-CHIO-B-048,CHIO-048
668,CN-GIRO-E-123,GIRO-123
669,CN-GIRO-F-090,GIRO-090
670,CN-GIRO-F-089,GIRO-089
671,CN-GIRO-G-120,GIRO-120
672,CN-GIRO-G-069,GIRO-069
673,CN-GIRO-G-121,GIRO-121
674,CN-GIRO-G-088,GIRO-088
675,CN-GIRO-G-086,GIRO-086
676,CN-GIRO-G-083,GIRO-083
677,CN-GIRO-G-084,GIRO-084
678,CN-GIRO-H-092,GIRO-092
679,CN-GIRO-H-093,GIRO-093
680,CN-GIRO-H-080,GIRO-080
681,CN-GIRO-H-081,GIRO-081
682,CN-GIRO-H-073,GIRO-073
683,CN-GIRO-H-072,GIRO-072
684,CN-GIRO-I-119,GIRO-119
685,CN-GIRO-I-118,GIRO-118
686,CN-GIRO-I-110,GIRO-110
687,CN-GIRO-I-094,GIRO-094
688,CN-GIRO-I-079,GIRO-079
689,CN-GIRO-I-074,GIRO-074
690,CN-GIRO-I-075,GIRO-075
691,CN-GIRO-I-116,GIRO-116
692,CN-GIRO-I-097,GIRO-097
693,CN-GIRO-I-115,GIRO-115
694,CN-GIRO-I-099,GIRO-099
695,CN-GIRO-I-098,GIRO-098
696,CN-GIRO-J-109,GIRO-109
697,CN-GIRO-J-102,GIRO-102
698,CN-GIRO-J-101,GIRO-101
699,CN-GIRO-J-100,GIRO-100
700,CN-GIRO-J-117,GIRO-117
701,CN-ORME-A-009,ORME-009
