FID,INDIRIZZO,DENOMINAZI,ADDRESS
748,"SAN POLO,1016",LOCANDA RUGA RIALTO,SP1016
753,"SANTA CROCE,1382",RED ROSE DRIM,SC1382
777,"SANTA CROCE,2151",APPARTAMENTO SANTA CROCE 2151,SC2151
804,"DORSODURO,644",CASA GUGGENHEIM,DD644
806,"SAN POLO,2304/A",APPARTAMENTO ANNALISA,SP2304A
809,"DORSODURO,3560",CA' DELLA CORTE,DD3560
823,"SAN MARCO,3470",SETTIMO CIELO,SM3470
824,"SAN MARCO,3470",BLOOM,SM3470
874,"CASTELLO,4432",LA LOCANDIERA 1,CA4432
875,"CASTELLO,4432",LA LOCANDIERA 1,CA4432
876,"CASTELLO,4432",LA LOCANDIERA,CA4432
993,"VIA JACOPO NANI,11",B & B TRILOGY,X_VIA JACOPO NANI11
996,"VIA MARCANTONIO BRAGADIN,12",VILLA ANGELICA,X_VIA MARCANTONIO BRAGADIN12
1033,"VIA NEGROPONTE,22",VILLA BERGHINZ,X_VIA NEGROPONTE22
1062,"VIA ANDREA CALMO,16",CONDOMINIO VIA CALMO,X_VIA ANDREA CALMO16
1068,"PIAZZA DELLE ERBE,3",VILLA PARADISO,X_PIAZZA DELLE ERBE3
1168,"CANNAREGIO,2221/A",C  TINTORETTO,CN2221A
1210,"VIA PIRANO,4",VILLA ELISABETTA,X_VIA PIRANO4
1221,"CALLE DE LE CONTERIE,21",ALLOGGI CONTERIE,X_CALLE DE LE CONTERIE21
1271,"CANNAREGIO,3505/D",AL CAMPANILE MADONNA DELL'ORTO,CN3505D
1310,"CANNAREGIO,5394/A",CA'RICCIO,CN5394A
1357,"CASTELLO,2926",PALAZZO CONTARINI DELLA PORTA DI FERRO,CA2926
1360,"CASTELLO,2954",CA' DEL CINEMA,CA2954
1362,"CANNAREGIO,180",LA GONDOLA,CN180
1373,"CANNAREGIO,4702",APOSTOLI PALACE,CN4702
1382,"CANNAREGIO,180",CA' DELLA DAMA,CN180
1404,"CANNAREGIO,3317",ALLOGGI AI MORI D'ORIENTE 4,CN3317
1474,"CANNAREGIO,1373",B&B ART DREAMS VENEZIA,CN1373
1517,"CANNAREGIO,5378/A",TREVENEZIE APP. ROSSO,CN5378A
1539,"CANNAREGIO,2283",CA' GOTTARDI 2,CN2283
1540,"CANNAREGIO,2283",CA' GOTTARDI 1,CN2283
1564,"CANNAREGIO,192",ALLOGGI LUCIA STEFANI 2,CN192
1567,"CANNAREGIO,3604",MADAMA,CN3604
1592,"CANNAREGIO,6232",CA' DE LA TESTA,CN6232
1615,"CANNAREGIO,4148",CASA D'ORO,CN4148
1665,"VIA ORSMIDA ROSADA,32",ILGLICINEFIORITO,X_VIA ORSMIDA ROSADA32
1672,"VIA PIETRO ORSEOLO SECONDO,2",TRA MARE E LAGUNA,X_VIA PIETRO ORSEOLO SECONDO2
1689,"VIA LEPANTO,8/E",LA BRAGADINA,X_VIA LEPANTO8E
1719,"CANNAREGIO,4185",ALLOGGI AI TESSSITORI,CN4185
1739,"SANTA CROCE,684",ALLOGGI GARLATO MARIA,SC684
1752,"VIA ISTRIA,12",B&B VILLA GABRIELLA,X_VIA ISTRIA12
1753,"VIA ISTRIA,12",VILLA GABRIELLA APARTMENTS,X_VIA ISTRIA12
1754,"VIA ISTRIA,12",APPARTAMENTO SUITE SUD VILLA GABRIELLA,X_VIA ISTRIA12
1757,"CASTELLO,4127",RESIDENZA A TRIBUTE TO MUSIC JAZZ&BLUES,CA4127
1758,"CASTELLO,4127",RESIDENZA A TRIBUTE TO MUSIC POP&ROCK,CA4127
1761,"SAN MARCO,3244",PALAZZINA G,SM3244
1763,"SAN MARCO,4868",RESIDENZA CA' SAN MARCO,SM4868
1769,"CANNAREGIO,2260",B&B CADORO,CN2260
1773,"CASTELLO,2869",CORTE NOVA,CA2869
1793,"DORSODURO,1268",ZENDER SILVANA,DD1268
1818,"DORSODURO,3513",VENICE RESORTS 1,DD3513
1820,"CASTELLO,4084",SAN SIMEON APARTMENTS 1,CA4084
1834,"DORSODURO,995",DIMORA TIEPOLO,DD995
1847,"CASTELLO,3611",CA SODERINI,CA3611
1848,"CASTELLO,3376/A",CA 'ISIDORO,CA3376A
1849,"CANNAREGIO,532/A",PALAZZO CENDON CAMPIELLO,CN532A
1865,"CANNAREGIO,1708/A",HELIOS C,CN1708A
1870,"CANNAREGIO,1279",CA' POZZO 3,CN1279
1871,"CANNAREGIO,1279",CA' POZZO 2,CN1279
1875,"CALLE BAINSIZZA,3",ROBERTO BACCI,X_CALLE BAINSIZZA3
1901,"ISOLA TORCELLO,9",BED AND BREAKFAST CA' TORCELLO,X_ISOLA TORCELLO9
1915,"CASTELLO,3288",PALAZZO SCHIAVONI SUITE-APARTMENTS,CA3288
1927,"CASTELLO,5546",TAVERNA SAN LIO,CA5546
1929,"CASTELLO,3385",B&B S.MARCO,CA3385
1937,"CANNAREGIO,2928",ISTITUTO DELLE SUORE DI SANTA DOROTEA- CASA RELIGIOSA DI OSPITALITA',CN2928
1953,"CANNAREGIO,5151/A",PICCOLO VECELLIO,CN5151A
1978,"VIA ALBERONI,32",LE GARZETTE - COUNTRY HOUSE,X_VIA ALBERONI32
1993,"CASTELLO,4530",APPARTAMENTI RASSE   CASANOVA,CA4530
2002,"DORSODURO,2937/B",BED AND BREAKFAST,DD2937B
2060,"SAN MARCO,4979",LANTERNA DI MARCO POLO,SM4979
2070,"SAN MARCO,3226",G HOUSE,SM3226
2082,"CASTELLO,3520",B&B QUERINI SAN MARCO,CA3520
2083,"CANNAREGIO,2286",PALAZZO GOTTARDI,CN2286
2087,"CANNAREGIO,533",PALAZZO CENDON LE MANSARDE,CN533
2125,"CANNAREGIO,3747",B&B NINA,CN3747
2144,"CASTELLO,4279",LOCANDA AL LEON 2,CA4279
2160,"CANNAREGIO,1592",ROSSO B & B DI GUSMITTA ELENA,CN1592
2176,"CANNAREGIO,2607/A",ANTICA RAFFINERIA 2,CN2607A
2190,"CASTELLO,6457",PALAZZO DEI MORI,CA6457
2210,"DORSODURO,623/A",RESIDENCE DINESEN,DD623A
2215,"GIUDECCA (VENEZIA),797",B&B VENICE HOME,GD797
2237,"SANTA CROCE,587",RESIDENCE ALLE ANTICHE FIGURE,SC587
2253,"SAN MARCO,3438",B&B A LE BOTEGHE DI CLARA TIOZZO,SM3438
2258,"SANTA CROCE,965",B&B IL GIARDINO DI GIULIA,SC965
2260,"SAN MARCO,2815",PALAZZO FOSCOLO,SM2815
2315,"CANNAREGIO,1341",MASCHERE,CN1341
2319,"SANTA CROCE,1988",AL PICCOLO MOCENIGO 2,SC1988
2328,"SAN POLO,2250",CA SANT AGOSTIN,SP2250
2340,"CANNAREGIO,1521",DO FRADEI,CN1521
2356,"SAN MARCO,987/A",CA DEL NOBILE,SM987A
2376,"SAN MARCO,1520/A",ANTICO CASIN,SM1520A
2378,"CANNAREGIO,1566/C",ZAFFIRO,CN1566C
2386,"VIA ALBERONI,51",CENTRO MOROSINI,X_VIA ALBERONI51
2405,"SAN MARCO,2331",CASA MORO 3,SM2331
2406,"SAN MARCO,2331",CASA MORO 4,SM2331
2435,"SAN POLO,1082",B&B SAN SILVESTRO,SP1082
2436,"SAN POLO,1082",RIALTO 1082,SP1082
2463,"SANTA CROCE,1810/A",CA' DEL TENTOR,SC1810A
2469,"SANTA CROCE,2061",AL RIMPETTO MOCENIGO,SC2061
2480,"SANTA CROCE,688",FIGURE 1,SC688
2488,"CASTELLO,5504/A",AQUA B,CA5504A
2512,"SAN MARCO,1105",U.I.A. RANDA,SM1105
2514,"SAN MARCO,3221",SAMUELE,SM3221
2535,"CASTELLO,5314",GONDOLA APARTMENT,CA5314
2547,"GIUDECCA (VENEZIA),753/G",B&B AL CANAL VENEZIA,GD753G
2553,"SAN POLO,3073/P",SAN POLO STAR,SP3073P
2629,"GIUDECCA (VENEZIA),234",AL REDENTORE DI VENEZIA,GD234
2667,"SAN MARCO,489",SPECCHIERI 1,SM489
2668,"SAN MARCO,489",SPECCHIERI 2,SM489
2685,"DORSODURO,586",APPARTAMENTO CORTE BRAGADIN,DD586
2690,"VIA LAZZARO MOCENIGO,10",APPARTAMENTO VILLA INES,X_VIA LAZZARO MOCENIGO10
2691,"VIA LAZZARO MOCENIGO,10",VILLA INES,X_VIA LAZZARO MOCENIGO10
2775,"SANTA CROCE,495/B",CASA SANT'ANDREA,SC495B
2777,"SAN POLO,1451",CA ARCO ANTICO,SP1451
2798,"SAN MARCO,5232",RESIDENZA GOLDONI 1,SM5232
2801,"SAN MARCO,2900/A",CASA MARGOT,SM2900A
2816,"CANNAREGIO,3316",ALLOGGI AI MORI D'ORIENTE 3,CN3316
2848,"SAN MARCO,2155",CORTE BAROZZI VENICE SUITES 300,SM2155
2849,"SAN MARCO,2155",CORTE BAROZZI VENICE SUITES 100,SM2155
2856,"CALLE LUNA,10",CASA CONTERIE,X_CALLE LUNA10
2860,"CASTELLO,5715",PALAZZETTO SAN LIO BALDACCHINO,CA5715
2861,"CASTELLO,5715",PALAZZETTO SAN LIO AFFRESCO,CA5715
2865,"SAN POLO,2993",CA' BADOER - FRARI,SP2993
2879,"CANNAREGIO,5400",CA' CAPPELLIS,CN5400
2935,"SANTA CROCE,345",ALLOGGI MARINELLA,SC345
2938,"CANNAREGIO,4517",B&B CA'DOR,CN4517
2944,"SAN MARCO,2966",LOCANDA ART DECO,SM2966
2975,"CASTELLO,5607",SAN LIO TOURIST HOUSE,CA5607
2997,"CASTELLO,5402",ISTITUTO SAN GIUSEPPE,CA5402
3035,"SAN MARCO,5134",CA' RIALTO DUE,SM5134
3082,"CASTELLO,5285",RELAIS VENEZIA,CA5285
3087,"SAN POLO,919",APPARTAMENTI VENEZIA.COM,SP919
3098,"SAN MARCO,3465",CA' MOROSINI 1,SM3465
3183,"CASTELLO,5715",PALAZZETTO SAN LIO ABBAINO,CA5715
3184,"CASTELLO,5715",PALAZZETTO SAN LIO PALAZZO,CA5715
3185,"CASTELLO,5715",PALAZZETTO SAN LIO CAMINETTO,CA5715
3198,"CASTELLO,4674",CASA JOLANDA,CA4674
3204,"SAN MARCO,603",GRECALE 2,SM603
3316,"SAN POLO,2542",OLTRE IL GIARDINO,SP2542
3323,"CASTELLO,1647",AFFITTACAMERE ALLA BIENNALE,CA1647
3324,"SAN POLO,1104",RESIDENZA SAN SILVESTRO,SP1104
3326,"CANNAREGIO,2010",ANGELES INN,CN2010
3334,"CASTELLO,1922/B",ABITAZIONE,CA1922B
3365,"DORSODURO,735/A",B&B SUITE 735,DD735A
3369,"DORSODURO,2518",AFFITTACAMERE ALLA CORTE ROSSA,DD2518
3402,"SAN POLO,1612",LOCANDA POSTE VECIE,SP1612
3422,"CASTELLO,4464",B&B ACQUA AZZURRA,CA4464
3424,"SANTA CROCE,2159",B&B CB2,SC2159
3437,"SANTA CROCE,693",ALADINO B&B,SC693
3443,"CASTELLO,4425",IQS CHARMING HOUSE - ROI,CA4425
3455,"CANNAREGIO,96/T",CENTRALE 21,CN96T
3456,"CANNAREGIO,96/T",MAZZONI 47,CN96T
3467,"CASTELLO,790",COCAL,CA790
3471,"CASTELLO,4998",CA PRIULI,CA4998
3478,"SANTA CROCE,1989",AL PICCOLO MOCENIGO,SC1989
3481,"SANTA CROCE,647",CORTE CANAL 1,SC647
3482,"SANTA CROCE,647",CORTE CANAL 2,SC647
3494,"SANTA CROCE,1265",CA  MIRO',SC1265
3496,"SANTA CROCE,1265",B&B VISTA SUL CANAL GRANDE,SC1265
3504,"CASTELLO,3975",SAN SIMEON APARTMENTS 2,CA3975
3565,"SAN MARCO,875",SAN MARCO PALACE,SM875
3567,"SAN MARTINO DESTRA (BURANO),481",CARMEN GARDEN,X_SAN MARTINO DESTRA (BURANO)481
3568,"CASTELLO,4428",CÀ DEL CONTE 3,CA4428
3569,"CASTELLO,4428",CÀ DEL CONTE 1,CA4428
3590,"SAN MARCO,2818",BENZON APARTMENTS,SM2818
3592,"SAN MARCO,510",CORTE DEL BANCHETTO,SM510
3631,"CASTELLO,4400",CASA DEL CONTE,CA4400
3673,"SANTA CROCE,421",BURCHIELLE1,SC421
3701,"SAN POLO,1569",LA VILLEGGIATURA,SP1569
3764,"SAN MARCO,5499",5499 GONDOLA,SM5499
3765,"SAN POLO,1421/A",B&B CA' DEL FORNO,SP1421A
3772,"SAN MARCO,3488",CA' LUCATELLO 1,SM3488
3791,"CANNAREGIO,522",B&B ALE E GIULIA,CN522
3830,"CANNAREGIO,3710",CA' DEL POETA,CN3710
3840,"SAN MARCO,4668",APPARTAMENTO SAN LUCA,SM4668
3856,"SANTA CROCE,877",CA' RIO MARIN,SC877
3885,"CANNAREGIO,1082",B&B TIEPOLO,CN1082
3893,"CANNAREGIO,96",ALLA VERA DA POZZO,CN96
3898,"CANNAREGIO,5658",RESIDENZA AL CAMPIELLO,CN5658
3913,"SAN MARCO,312",RELAIS PIAZZA SAN MARCO 1,SM312
3918,"CAMPO MONTE GRAPPA,1",B&B BIENNALE,X_CAMPO MONTE GRAPPA1
3935,"CASTELLO,3682/B",CA DEL CAPITANO,CA3682B
3946,"SAN MARCO,4719",LA CAMPANA,SM4719
3950,"SAN MARCO,2896",CA GIUSTINIAN LOLIN I,SM2896
3953,"LUNGOMARE GABRIELE D'ANNUNZIO,14",LE SERRE DEL LIDO,X_LUNGOMARE GABRIELE D'ANNUNZIO14
3955,"SAN MARCO,203",LE DUE CORONE,SM203
3957,"DORSODURO,1014",DIMORA MARAVEGIE,DD1014
3961,"SAN POLO,1778",L'O VENEZIA FLAT,SP1778
3964,"SAN MARCO,1480",CENTRALE TERRACE,SM1480
3967,"CASTELLO,6253",CA' PINELLI,CA6253
3972,"SAN POLO,2466",B&B CASA EMIMI',SP2466
4017,"SAN POLO,240/A",GUERRATINO,SP240A
4024,"VIA DEI SANMICHELI,11",ALLOGGI ANDREAN DONATELLA,X_VIA DEI SANMICHELI11
4056,"GIUDECCA (VENEZIA),84",OSTELLO VENEZIA,GD84
4057,"SAN POLO,1459/A",BED AND BREAKFAST YOU AND ME,SP1459A
4062,"DORSODURO,818",LA RESIDENZA 818,DD818
4070,"DORSODURO,724",DD724,DD724
4111,"CASTELLO,6573",ALLOGGI BARBARIA,CA6573
4121,"DORSODURO,2632/E",B&B HORTUS,DD2632E
4123,"SAN MARCO,363",CASA CONCORDIA,SM363
4168,"CASTELLO,4983",CASA NICOLO PRIULI I,CA4983
4231,"SAN MARCO,2632",ZAGURI,SM2632
4239,"SAN MARCO,2683",ALLOGGI NOVECENTO1,SM2683
4240,"GIUDECCA (VENEZIA),801/A",STARFISH 1,GD801A
4279,"CASTELLO,6534/B",B&B CASA IN LAGUNA,CA6534B
4294,"SANTA CROCE,940/A",LUXURY APARTMENT CANAL GRANDE 1,SC940A
4302,"SAN MARCO,2684",ALLOGGI NOVECENTO 2,SM2684
4303,"CASTELLO,4984",CASA NICOLO PRIULI II,CA4984
4324,"VIA MARCANTONIO BRAGADIN,38",DB LIDO SRL,X_VIA MARCANTONIO BRAGADIN38
4326,"SAN MARCO,580",GONDOLA,SM580
4327,"SAN MARCO,580",PUPPARIN,SM580
4328,"SAN MARCO,580",SANDOLO,SM580
4329,"SAN MARCO,580",BRAGOZZO,SM580
4330,"SAN MARCO,580",SANPIEROTA,SM580
4335,"SAN POLO,1434",CA' ANGELI 2,SP1434
4336,"SAN POLO,1434",CA' ANGELI,SP1434
4382,"CASTELLO,4650/A",BUCINTORO,CA4650A
4397,"DORSODURO,3545",CA' DELLA CORTE SUITE,DD3545
4398,"SAN MARCO,2896",CA GIUSTINIAN LOLIN II,SM2896
4404,"SAN MARCO,3484",B&B FORTUNY HOUSE,SM3484
4417,"SAN MARCO,2313",CASA FLORA,SM2313
4431,"SAN MARCO,5466",RESIDENZA RIVO ALTO,SM5466
4447,"SAN POLO,1615",BEST HOLIDAYS VENICE,SP1615
4453,"CASTELLO,4847",ALLOGGIO AL PIAVE 1,CA4847
4457,"DORSODURO,1902",BED AND BREAKFAST LE TERESE,DD1902
4461,"CASTELLO,5286",HOUSE 5286,CA5286
4496,"SANTA CROCE,88",CA' RIZA,SC88
4503,"CASTELLO,5056",AL BAILO DI VENEZIA,CA5056
4504,"CASTELLO,5056",AL BAILO DI VENEZIA,CA5056
4528,"GIUDECCA (VENEZIA),866/T",MAISON BOUTIQUE AL REDENTORE,GD866T
4546,"SAN MARCO,144",BEST WINDOWS3,SM144
4585,"DORSODURO,531",CA' SAN VIO,DD531
4635,"SAN MARCO,3569",PARUTA HOUSE 601,SM3569
4637,"SAN MARCO,3569",PARUTA HOUSE 604,SM3569
4639,"SAN MARCO,3569",PARUTA HOUSE 602,SM3569
4641,"SAN MARCO,3569",CA' SANT'ANGELO,SM3569
4646,"DORSODURO,2967/A",ANTICO CAPON 1,DD2967A
4647,"CASTELLO,4346",PICCOLO TIEPOLO,CA4346
4648,"DORSODURO,2967/A",ALLOGGI S.MARGHERITA,DD2967A
4655,"SAN MARTINO DESTRA (BURANO),379",LAGUNA BLU',X_SAN MARTINO DESTRA (BURANO)379
4663,"SAN MARCO,3657",APPARTAMENTO VENEZIANO,SM3657
4675,"SANTA CROCE,2325",RESIDENZA DEGLI ANGELI,SC2325
4701,"SAN MARCO,4030",B&B TRIBUTI,SM4030
4719,"SAN MARCO,4306",ALLOGGI ALLA SCALA,SM4306
4733,"SAN MARCO,3569",PARUTA HOUSE 603,SM3569
4738,"SAN MARCO,3450",B&B SANTO STEFANO,SM3450
4740,"SAN MARCO,536",SAN ZULIAN 1,SM536
4749,"SAN MARCO,1386",CA' DALISERA BED AND BREKFAST,SM1386
4751,"SANTA CROCE,394",CASA BURCHIELLE,SC394
4753,"SANTA CROCE,394",ALLOGGI OLIMPIA 2,SC394
4755,"FONDAMENTA ANDREA NAVAGERO,77",LAGOON SUITES APPARTAMENTO 3,X_FONDAMENTA ANDREA NAVAGERO77
4757,"FONDAMENTA ANDREA NAVAGERO,77",LAGOON SUITES APPARTAMENTO 4,X_FONDAMENTA ANDREA NAVAGERO77
4759,"FONDAMENTA ANDREA NAVAGERO,77",LAGOON SUITES APPARTAMENTO 5,X_FONDAMENTA ANDREA NAVAGERO77
4762,"SAN POLO,290",ANTICO MERCATO,SP290
4763,"DORSODURO,3589",GAFARO,DD3589
4764,"DORSODURO,2994",MARGHERITA HOUSE VENICE,DD2994
4771,"CASTELLO,4910",B&B ARABESQUE,CA4910
4792,"GIUDECCA (VENEZIA),490",B&B GIUDECCA BELLA,GD490
4813,"SAN MARCO,1754",RESIDENZA SAN MARCO,SM1754
4821,"SAN MARCO,4991",B&B CÀ DELLE ACQUE,SM4991
4831,"SAN MARCO,5234",RESIDENZA GOLDONI 2,SM5234
4851,"DORSODURO,2727/A",CA' BEATRICE,DD2727A
4857,"SANTA CROCE,941",LUXURY APARTMENT CANAL GRANDE 2,SC941
4860,"CASTELLO,6072",CASA ROSSANA,CA6072
4865,"SAN MARCO,3986",ALLOGGI ALLA RIVETTA,SM3986
4912,"SANTA CROCE,326/A",DOMUS G.B. GIUSTINIAN,SC326A
4921,"SAN POLO,2548",CA' BADOER,SP2548
4926,"SAN MARCO,538",SAN ZULIAN 2,SM538
4963,"SAN MARCO,144",BEST WINDOWS 1,SM144
4987,"SANTA CROCE,1032/A",CASA DEI PITTORI CA' TIZIANO,SC1032A
4989,"SANTA CROCE,1032/A",CASA DEI PITTORI CA' VERONESE,SC1032A
4991,"SANTA CROCE,1032/A",CASA DEI PITTORI DIMORA TINTORETTO,SC1032A
4993,"SANTA CROCE,1032/A",CASA DEI PITTORI DIMORA CANALETTO,SC1032A
4995,"SANTA CROCE,1032/A",CASA DEI PITTORI DIMORA GIORGIONE,SC1032A
4997,"SANTA CROCE,1032/A",CASA DEI PITTORI CA' TIEPOLO,SC1032A
4999,"SANTA CROCE,1032/A",CASA DEI PITTORI CA' GUARDI,SC1032A
5040,"CASTELLO,4846",PIAVE2,CA4846
5046,"SAN MARCO,916",CA' DEL DUCA,SM916
5047,"SAN MARCO,4017",CA'MANIN SRLS,SM4017
5080,"SANTA CROCE,368",ALLOGGI OLIMPIA 1,SC368
5107,"DORSODURO,1323",ISTITUTO CANOSSIANO SAN TROVASO,DD1323
5112,"SAN POLO,885",APPARTAMENTO SAN POLO 885,SP885
5125,"CASTELLO,6662",CA' BARBARIA,CA6662
5147,"CASTELLO,4985",CASA NICOLO PRIULI III,CA4985
5163,"SANTA CROCE,387",ALLOGGI ARLECCHINO 1,SC387
5165,"SANTA CROCE,387",ALLOGGI ARLECCHINO,SC387
5168,"DORSODURO,3960",PRIMALUCE,DD3960
5179,"DORSODURO,111",CA MARIA ADELE,DD111
5243,"SANTA CROCE,467/E",CA' DOGE,SC467E
5256,"ISOLA TORCELLO,29",LOCANDA CIPRIANI,X_ISOLA TORCELLO29
5269,"DORSODURO,93",B&B D.D. 93,DD93
5285,"SAN MARCO,695",ANTARES,SM695
5305,"CASTELLO,5123",APPARTAMENTO,CA5123
