short_alias,building_id,height,superficie,floors_est,units_est_meters,units_est_volume,pop_est
ZACC-046,5322,,32.08,0,0,0,0
ZACC-045,5323,,88.66,0,0,0,0
ZACC-049,5324,,202.96,0,0,0,0
ZACC-068,5325,,389.97,0,0,0,0
ZACC-069,5326,,55.41,0,0,0,0
ZACC-001,5327,,266.1,0,0,0,0
ZACC-002,5328,,243.0,0,0,0,0
ZACC-051,5331,,768.17,0,0,0,0
ZACC-062,7591,,375.04,0,0,0,0
ZACC-032,7592,,192.43,0,0,0,0
ZACC-031,7593,,214.74,0,0,0,0
ZACC-059,7594,,73.87,0,0,0,0
ZACC-060,7595,,74.39,0,0,0,0
ZACC-061,7597,,74.67,0,0,0,0
ZACC-035,7598,,25.61,0,0,0,0
ZACC-037,7599,,95.33,0,0,0,0
ZACC-027,7600,,74.01,0,0,0,0
ZACC-028,7602,,103.86,0,0,0,0
ZACC-029,7603,,98.62,0,0,0,0
ZACC-025,7604,,28.74,0,0,0,0
ZACC-023,7605,,64.29,0,0,0,0
ZACC-022,7606,,73.52,0,0,0,0
ZACC-017,7607,,187.71,0,0,0,0
ZACC-019,7608,,71.39,0,0,0,0
ZACC-016,7609,,127.47,0,0,0,0
ZACC-075,7622,,181.11,0,0,0,0
ZACC-074,7623,,185.29,0,0,0,0
ZACC-072,7624,,110.1,0,0,0,0
ZACC-073,7625,,122.56,0,0,0,0
ZACC-013,7628,,431.38,0,0,0,0
ZACC-039,7629,,40.01,0,0,0,0
ZACC-052,7630,,43.46,0,0,0,0
ZACC-053,7631,,210.43,0,0,0,0
ZACC-007,7632,,85.12,0,0,0,0
ZACC-006,7633,,22.26,0,0,0,0
ZACC-004,7634,,6.86,0,0,0,0
ZACC-005,7635,,154.38,0,0,0,0
ZACC-026,7697,,42.32,0,0,0,0
ZACC-030,7698,,132.07,0,0,0,0
ZACC-015,7711,,443.21,0,0,0,0
ZACC-014,7712,,56.76,0,0,0,0
ZACC-020,7713,,115.03,0,0,0,0
ZACC-018,7714,,62.4,0,0,0,0
ZACC-021,7715,,35.03,0,0,0,0
ZACC-058,7724,,126.54,0,0,0,0
ZACC-071,7730,,13.21,0,0,0,0
ZACC-012,7741,,44.61,0,0,0,0
ZACC-034,7742,,19.92,0,0,0,0
ZACC-033,7743,,35.82,0,0,0,0
ZACC-066,7748,,19.95,0,0,0,0
ZACC-054,7751,,458.0,0,0,0,0
ZACC-024,7752,,19.86,0,0,0,0
ZACC-009,7782,,707.01,0,0,0,0
ZACC-008,7783,,1060.63,0,0,0,0
ZACC-067,14704,,382.81,0,0,0,0
ZACC-050,14707,,211.36,0,0,0,0
ZACC-064,14710,,305.45,0,0,0,0
ZACC-070,15433,,3418.21,0,0,0,0
ZACC-057,7580,,222.14,0,0,0,0
ZACC-055,7696,,811.32,0,0,0,0
ZACC-011,7626,,509.47,0,0,0,0
ZACC-010,7627,,103.02,0,0,0,0
ZACC-056,7695,,14.47,0,0,0,0
