short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
LEON-191,Knt,3.24,12.98,none,2
LEON-192,Kt,9.97,39.44,none,4
LEON-193,Kt,6.37,49.58,none,3
LEON-194,Kt,19.86,391.81,"CN967, CN968, CN969",7
LEON-195,Kt,6.0,669.61,none,2
LEON-196,Nr,9999.0,10795.15,none,3333
LEON-197,A1,4.4,122.18,none,2
LEON-198,A1,6.05,95.11,"CN977, CN977A, CN977B",3
LEON-199,Nr,15.02,213.34,CN978,6
LEON-200,A,0.0,47.31,CN979,1
LEON-201,Ne,6.7,74.61,"CN981, CN981A",3
LEON-202,Ne,9999.0,9849.17,CN985,3333
LEON-203,pt,9.9,92.47,"CN989, CN990, CN991, CN992",4
LEON-204, ,14.07,66.82,CN993,5
LEON-205,Ne,9.02,41.95,"CN987, CN988",4
LEON-206, ,16.96,36.94,none,6
LEON-207,Ne,8.04,25.54,CN986D,3
LEON-208,A,14.3,128.48,CN994,5
LEON-209,A,14.12,100.44,none,5
LEON-210,Knt,7.37,97.11,CN986C,3
LEON-211,A,11.37,14.42,none,4
LEON-212,Knt,3.67,48.64,"CN986A, CN986B",2
LEON-213,Nr,14.1,367.31,"CN995, CN995A, CN995B",5
LEON-214,A,7.65,72.17,none,3
LEON-215,Nr,15.65,126.87,CN996,6
LEON-216,Nr,9999.0,9190.83,CN986,3333
LEON-217,Bg,8.6,66.61,CN997,3
LEON-218,Nr,7.67,162.28,none,3
LEON-219,Knt,4.2,259.84,none,2
LEON-220,Knt,0.0,47.64,none,1
LEON-221,A,7.67,173.63,"CN998, CN998A, CN999",3
LEON-222,Ka,9999.0,8976.19,none,3333
LEON-223,A,0.0,42.15,CN1000,1
LEON-224,A,0.0,41.14,CN1000A,1
LEON-225,A,0.0,44.32,CN1001,1
LEON-226,Ka,9999.0,8952.73,none,3333
LEON-227,A,0.0,40.9,CN1001A,1
LEON-228,A,0.0,43.04,CN1001B,1
LEON-229,A,0.0,42.97,CN1002,1
LEON-230,A,0.0,39.2,CN1002A,1
LEON-231,A,0.0,36.54,CN1002B,1
LEON-232,A,0.0,45.06,CN1003,1
LEON-233,A,9.7,38.37,CN1003A,4
LEON-234,Nr,13.05,95.34,"CN1003B, CN1004",5
LEON-235,pt,10.22,127.1,"CN1017, CN1018, CN1018A",4
LEON-236,B1,13.93,110.09,"CN1019, CN1020, CN1027",5
LEON-237,A,8.4,149.85,"CN1012, CN1014, CN1015, CN1016",3
LEON-238,A,0.0,31.26,CN1011A,1
LEON-239,A,6.36,41.43,CN1011,3
LEON-240, ,4.1,38.96,none,2
LEON-241,Knt,3.98,196.32,none,2
LEON-242, ,12.43,139.12,"CN1029, CN1030, CN1031",5
LEON-243,Ne,5.1,166.51,none,2
LEON-244, ,5.88,30.71,none,2
LEON-245,Kt,8.0,75.56,none,3
LEON-246,Or,7.6,86.69,"CN1005A, CN1006, CN1007, CN1008",3
LEON-247, ,6.06,39.01,none,3
LEON-248,A1,7.47,63.97,none,3
LEON-249,Or,0.0,135.45,CN1005,1
LEON-250,C,0.0,0.0,none,1
LEON-251,B1,0.0,62.13,none,1
LEON-252,A,14.81,216.66,"CN1035, CN1036A, CN1037",5
LEON-253,B1,0.0,0.0,none,1
LEON-254,A,9.75,57.92,CN1038,4
LEON-255,C,5.95,148.68,none,2
LEON-256,C,7.52,329.21,"CN1045, CN1045C",3
LEON-257,B1,13.81,6.6,none,5
LEON-258,A,14.6,123.1,none,5
LEON-259,A,0.0,21.72,CN1040,1
LEON-260,Ne,8.25,99.9,"CN1044, CN1044A, CN1044B",3
LEON-261,A,5.0,29.23,none,2
LEON-262,fa,11.48,214.34,"CN1039, CN1039A, CN1058, CN1059, CN1060",4
LEON-263,fa,0.0,35.12,none,1
LEON-264,fa,10.71,19.9,CN1041,4
LEON-265,C,8.25,232.57,CN1045B,3
LEON-266,A,8.76,39.42,CN1052,3
LEON-267,Ne,10.6,98.52,"CN1042, CN1043",4
LEON-268,A,0.0,43.4,"CN1049, CN1050, CN1051",1
LEON-269,Ne,5.67,301.51,CN1057,2
LEON-270,A,0.0,69.03,CN1048,1
LEON-271,Ne,8.4,77.55,CN1053,3
LEON-272,Ne,5.67,301.51,none,2
LEON-273,C,11.85,402.91,"CN1061, CN1062, CN1063",4
LEON-274,A,7.25,51.1,CN1047,3
LEON-275,A1,7.05,59.98,CN1046,3
LEON-276,Ne,9.0,99.06,none,3
LEON-277,Or,7.4,123.32,"CN1046A, CN1046B",3
LEON-278,Ne,10.12,195.53,none,4
LEON-279,fa,11.58,588.41,"CN1064, CN1065, CN1066, CN1067A, CN1078, CN1079",4
LEON-280,Ne,6.05,494.74,none,3
LEON-281,Ne,8.8,175.15,none,3
LEON-282,pt,9.52,45.81,"CN1067B, CN1068",4
LEON-283,pt,0.0,39.81,"CN1069, CN1070",1
LEON-284, ,0.0,43.85,CN1071,1
LEON-285,Kna,6.05,148.66,none,3
LEON-286,C,10.66,156.84,"CN1080, CN1080A, CN1081",4
LEON-287,Kna,5.5,165.38,none,2
LEON-288, ,11.23,41.64,"CN1073, CN1074",4
LEON-289,Kna,0.0,803.83,"CN1074A, CN1074B, CN1074C, CN1074D, CN1074E",1
LEON-290,C,14.68,328.19,"CN1082, CN1083, CN1084",5
LEON-291,Nr,10.37,396.43,"CN1076E, CN1076F",4
LEON-292,Or,10.7,141.95,"CN1085, CN1086, CN1087, CN1088",4
LEON-293,pt,8.18,47.71,CN1091,3
LEON-294,Nr,5.63,274.89,none,2
LEON-295,Nr,10.44,498.64,CN1104A,4
LEON-296,Nr,10.18,119.48,none,4
LEON-297,Nr,7.31,1045.99,"CN1106B, CN1157, CN1158, CN1159, CN1160, CN1161, CN1162, CN1163, CN1164, CN1165, CN1166, CN1167, CN1168, CN1169, CN1170, CN1171, CN1172, CN1173, CN1174, CN1175, CN1176, CN1177, CN1178, CN1179",3
LEON-298,Nr,4.57,18.0,none,2
LEON-299,Nr,8.61,64.08,none,3
LEON-300,Nr,14.91,131.17,none,5
LEON-301,Ka,5.84,138.89,none,2
LEON-302,Nr,11.37,41.5,none,4
LEON-303,fa,12.47,84.53,none,5
LEON-304,A,12.28,96.8,"CN1100, CN1101, CN1102, CN1103",5
LEON-305,Or,0.0,51.14,none,1
LEON-306,A,6.69,36.98,"CN1098, CN1099",3
LEON-307,A,8.65,12.62,none,3
LEON-308,A1,8.15,42.92,"CN1096, CN1097",3
LEON-309,A1,0.0,68.57,"CN1094, CN1095",1
LEON-310,Or,0.0,256.8,CN1104,1
LEON-311,A1,6.82,83.69,"CN1092, CN1093",3
LEON-312,C,5.14,24.53,none,2
LEON-313,fa,18.94,750.63,"CN1105, CN1105A",7
LEON-314,fa,18.48,336.34,"CN1106, CN1106A",7
LEON-315,Nr,0.0,147.66,"CN1181, CN1181A",1
LEON-316,Nr,5.02,10.91,none,2
LEON-317,Nd,0.0,13.7,CN1182,1
LEON-318,C,13.46,142.54,"CN1185A, CN1186, CN1187, CN1188",5
LEON-319,C,15.54,230.31,CN1189,6
LEON-320,pt,11.0,106.61,"CN1347, CN1348",4
LEON-321,C,8.48,45.24,none,3
LEON-322,fa,4.88,31.83,CN1350,2
LEON-323,pt,15.0,257.08,"CN1346, CN1346A, CN1394A, CN1394C, CN1394D, CN1394E, CN1394F, CN1394H",5
LEON-324,Nr,16.44,522.67,"CN1351, CN1352, CN1353A, CN1353C",6
LEON-325,pt,12.05,85.47,none,5
LEON-326, ,0.0,13.7,none,1
LEON-327,Kot,8.71,207.58,none,3
LEON-328, ,4.38,36.78,none,2
LEON-329,Nr,5.6,120.28,"CN1354, CN1355",2
LEON-330, ,5.6,11.48,none,2
LEON-331, ,6.48,34.52,none,3
LEON-332,Kot,0.0,174.56,"CN1393B, CN1394",1
LEON-333, ,3.49,47.51,none,2
LEON-334,Or,9999.0,25223.69,"CN1356, CN1367, CN1368, CN1369",3333
LEON-335,Nr,9999.0,24760.43,CN1392E,3333
LEON-336,C,9999.0,25152.79,none,3333
LEON-337,C,9999.0,25126.47,none,3333
LEON-338,Or,11.6,175.67,"CN1370, CN1371, CN1372",4
LEON-339, ,4.14,19.22,none,2
LEON-340,C,14.17,292.9,"CN1373, CN1373A, CN1373B",5
LEON-341,Knt,4.44,106.63,none,2
LEON-342,C,4.14,56.87,none,2
LEON-343,pt,11.48,52.06,"CN1392, CN1392A, CN1392B, CN1392C",4
LEON-344,C,13.14,147.23,CN1376A,5
LEON-345,Nr,8.5,85.55,CN1374,3
LEON-346,pt,8.55,81.96,CN1391A,3
LEON-347,Nr,0.0,117.12,CN1375,1
LEON-348,pt,9.56,141.89,"CN1385, CN1386, CN1387, CN1388, CN1389",4
LEON-349,Ne,0.0,329.49,"CN1376B, CN1380, CN1381, CN1382, CN1383, CN1383A",1
LEON-350,Nr,12.1,353.73,"CN1360, CN1360A, CN1360B",5
LEON-351,Nr,15.35,318.49,"CN1361B, CN1361C",6
LEON-352,Nr,5.5,11.41,none,2
LEON-353, ,0.0,0.0,none,1
LEON-354, ,5.42,33.26,none,2
LEON-355,Nr,11.39,142.96,CN2974C,4
LEON-356,Nr,14.63,186.36,CN2975,5
LEON-357,N,7.76,212.16,"CN1509, CN1509A, CN1510, CN1511",3
LEON-358,A1,7.77,47.79,"CN1512, CN1513",3
LEON-359,C,0.0,191.43,CN1533,1
LEON-360,C,15.25,210.68,"CN1514, CN1515, CN1516, CN1517, CN1518",6
LEON-361,B,0.0,56.48,"CN1531, CN1532",1
LEON-362,A1,0.0,34.39,none,1
