short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
CASS-133,Ne,15.4,320.2,"SP1631, SP1632, SP1772, SP1773, SP1774, SP1775, SP1776, SP1777",6
CASS-134,Bg,0.0,82.21,"SP1636, SP1637, SP1638, SP1648, SP1649, SP1650",1
CASS-135,Bg,0.0,94.23,"SP1639, SP1640, SP1641, SP1646, SP1647",1
CASS-136,C,0.0,100.07,"SP1642, SP1643, SP1644, SP1645",1
CASS-137,C,16.74,176.95,"SP1627, SP1628, SP1629, SP1630, SP1778, SP1779, SP1780",6
CASS-138,C,14.26,215.23,"SP1615, SP1616, SP1616A",5
CASS-139,C,17.2,154.89,"SP1617, SP1618, SP1619, SP1620",6
CASS-140,A,12.0,57.85,SP1604,4
CASS-141,fa,15.6,22.83,none,6
CASS-142,Or,6.2,22.61,SP1605,3
CASS-143,C,16.23,98.91,none,6
CASS-144,Or,11.67,78.08,none,4
CASS-145,A1,16.55,254.37,"SP1621, SP1622, SP1623, SP1623A, SP1624, SP1625",6
CASS-146,fa,10.09,35.66,none,4
CASS-147,Nr,11.61,352.31,"SP1606, SP1607, SP1608, SP1610, SP1611, SP1612",4
CASS-148,B1,10.3,38.36,none,4
CASS-149,fa,11.5,97.21,"SP1626, SP1781",4
CASS-150,Nr,7.84,213.52,none,3
CASS-151,B,11.0,125.17,"SP1782, SP1783, SP1783A, SP1784",4
CASS-152,A1,12.4,84.77,SP1785,5
CASS-153,Bg,15.09,100.58,"SP1712, SP1723, SP1724, SP1725, SP1757",6
CASS-154,fa,11.84,58.03,"SP1720, SP1721, SP1722",4
CASS-155, ,7.06,52.89,"SP1714, SP1715",3
CASS-156,B,13.73,85.75,"SP1716, SP1717, SP1719",5
CASS-157,pt,13.65,120.86,"SP1748, SP1749, SP1750",5
CASS-158,pt,9.1,55.9,"SP1743, SP1747",4
CASS-159,Bg,12.47,218.53,"SP1740, SP1741, SP1751, SP1752, SP1753",5
CASS-160,A,7.15,30.31,"SP1743A, SP1746A",3
CASS-161,Bg,13.5,115.73,"SP1725A, SP1726, SP1726A, SP1727, SP1728, SP1754, SP1755, SP1756",5
CASS-162,pt,8.29,81.32,"SP1744, SP1745, SP1746",3
CASS-163,D,7.68,53.7,"SP1738, SP1739",3
CASS-164,D,9.78,43.87,"SP1736, SP1737",4
CASS-165,Bg,13.19,187.21,"SP1729, SP1730, SP1731, SP1732, SP1733, SP1734, SP1735, SP1735A",5
CASS-166,fa,11.42,145.2,"SP1498, SP1498A, SP1498B, SP1498C, SP1505",4
CASS-167,Or,10.43,71.19,"SP1506, SP1507",4
CASS-168,B,8.65,81.14,SP1508,3
CASS-169,pt,11.92,134.03,"SP1496A, SP1499, SP1503, SP1504",4
CASS-170,pt,8.64,230.76,"SP1499B, SP1499C",3
CASS-171,fa,11.73,244.38,"SP1502, SP1502A, SP1509, SP1509A, SP1509B",4
CASS-172,pt,11.12,154.34,none,4
CASS-173, ,10.56,106.77,none,4
CASS-174, ,0.0,67.08,"SP1501, SP1501A",1
CASS~NO_BUILDING,,,,"SP1500, SP1500A, SP1500B, SP1511, SP1512A, SP1515, SP1515A, SP1613, SP1614, SP1707, SP1713, SP1742, SP1781A, SP1792, SP1845, SP1854, SP1856, SP1867, SP1883, SP1888A, SP1889A, SP1895C, SP1896, SP1900, SP1905",
