short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
ELEN-191,Nd,0.0,8.73,none,1
ELEN-192,Ne,16.68,103.99,none,6
ELEN-193,Ne,13.51,279.7,none,5
ELEN-194,Nd,4.5,38.9,none,2
ELEN-195,Ne,16.67,137.67,CS16,6
ELEN-196,Ne,16.53,315.19,CS23,6
ELEN-197,Ne,0.0,274.32,CS20,1
ELEN-198,Ne,12.52,96.47,CS21,5
ELEN-199,Nd,5.0,18.69,none,2
ELEN-200,Ne,13.38,131.27,none,5
ELEN-201,Nr,13.0,213.7,CS2,5
ELEN-202,Ne,0.0,142.26,CS1,1
ELEN-203,Ne,17.43,120.88,none,6
ELEN-204,Ne,13.54,101.99,CS1,5
ELEN-205,Nr,16.1,301.43,"CS3, CS5",6
ELEN-206,Nr,16.0,291.53,CS8,6
ELEN-207,Nr,17.6,302.45,"CS17, CS18",6
ELEN-208,Nr,17.27,257.39,"CS4, CS6",6
ELEN-209,Nr,19.0,615.03,"CS2, CS3, CS5, CS7",7
ELEN-210,Nr,4.9,43.76,CS8,2
ELEN-211,Nr,17.47,294.26,CS18A,6
ELEN-212,Ne,10.08,37.56,"CS2, CS30, CS4",4
ELEN-213,Ne,17.37,170.37,"CS31, CS32",6
ELEN-214,Ne,13.35,120.44,"CS1, CS3, CS33, CS34, CS35",5
ELEN-215,Ne,16.28,106.82,none,6
ELEN-216,Nd,17.37,12.3,none,6
ELEN-217,Ne,16.99,102.82,"CS5, CS7",6
ELEN-218,Ne,16.5,150.72,"CS10, CS12, CS14, CS6, CS8",6
ELEN-219,Ne,13.12,115.83,"CS2, CS4",5
ELEN-220,Ne,15.91,94.24,"CS11, CS6, CS9",6
ELEN-221,Ne,10.41,22.74,CS16,4
ELEN-222,Ne,19.6,152.58,"CS1, CS18, CS2, CS20, CS22, CS24, CS3",7
ELEN-223,Ne,12.28,84.76,"CS1, CS3",5
ELEN-224,Ne,13.7,44.8,none,5
ELEN-225,Ne,16.78,145.99,CS5,6
ELEN-226,Ne,0.0,7.67,CS4,1
ELEN-227,Ne,0.0,47.87,"CS5A, CS5B",1
ELEN-228,Ne,6.83,16.88,none,3
ELEN-229,Ne,14.24,137.03,"CS6, CS7, CS8, CS9",5
ELEN-230,Ne,17.12,174.87,CS9,6
ELEN-231,Ne,17.12,33.69,CS11,6
ELEN-232,Ne,14.84,128.58,"CS10, CS11, CS13, CS15, CS17",5
ELEN-233,Ne,16.0,199.72,"CS2, CS36, CS37, CS38, CS39, CS4, CS6",6
ELEN-234,Ne,13.62,29.72,CS40,5
ELEN-235,Ne,16.52,92.11,"CS41, CS42",6
ELEN-236,Ne,0.0,41.03,none,1
ELEN-237,Ne,16.08,115.69,none,6
ELEN-238,Ne,13.48,109.51,CS10,5
ELEN-239,Ne,15.85,78.9,CS43,6
ELEN-240,Ne,13.72,137.99,"CS10, CS8",5
ELEN-241,Ne,14.18,206.91,"CS1, CS3, CS44, CS45, CS5",5
ELEN-242,Ne,15.62,182.06,"CS12, CS14, CS7, CS7A",6
ELEN-243,Ne,16.55,110.35,none,6
ELEN-244,Ne,0.0,215.89,"CS14, CS15, CS16",1
ELEN-245,Ne,20.55,171.92,"CS17, CS18, CS19, CS2, CS4, CS6",7
ELEN-246,Ne,20.21,243.45,"CS11, CS3, CS5, CS7, CS9",7
ELEN-247,Ne,17.03,112.48,CS8,6
ELEN-248,Ne,14.53,50.71,"CS11, CS13",5
ELEN-249,Ne,19.75,195.94,"CS15, CS17, CS19",7
ELEN-250,Ne,20.0,104.7,CS10,7
ELEN-251,Ne,16.3,184.35,"CS12, CS14, CS21, CS23",6
ELEN-252,Ne,18.23,186.86,"CS2, CS4, CS46, CS47",7
ELEN-253,Ne,10.33,111.3,CS48,4
ELEN-254,Ne,19.5,309.38,"CS2, CS4, CS6, CS8",7
ELEN-255,Ne,13.06,232.35,"CS3, CS50, CS51",5
ELEN-256,Ne,13.07,154.67,CS6,5
ELEN-257,Ne,13.18,108.3,"CS10, CS8",5
ELEN-258,Ne,19.88,302.09,"CS12, CS5, CS7, CS9",7
ELEN-259,Ne,17.88,211.66,"CS15, CS16",6
ELEN-260,Ne,13.37,265.1,none,5
ELEN-261,Ne,16.55,212.75,CS16,6
ELEN-262,Ne,17.95,160.7,CS20,6
ELEN-263,Ne,15.5,71.07,none,6
ELEN-264,Ne,14.2,196.35,"CS2, CS4, CS53, CS54, CS55, CS56, CS57, CS58, CS6",5
ELEN-265,Ne,13.35,226.11,CS10,5
ELEN-266,Ne,20.24,184.39,"CS59, CS60, CS61",7
ELEN-267,Ne,20.43,271.47,"CS1, CS3, CS5, CS62, CS63, CS64, CS65, CS66",7
ELEN-268,Ne,16.36,107.49,none,6
ELEN-269,Ne,14.14,112.2,none,5
ELEN-270,Ne,17.12,181.55,CS9,6
ELEN~NO_BUILDING,,,,"CS1, CS10, CS11, CS11B, CS12, CS13, CS14, CS15, CS15A, CS16, CS17, CS19, CS1A, CS1C, CS2, CS20A, CS21, CS22, CS2A, CS3, CS3A, CS4, CS49, CS5, CS5A, CS6, CS7, CS8",
